iter	Passed	Remaining
0	1	188
1	3	173
2	5	171
3	6	162
4	8	162
5	10	163
6	12	161
7	14	161
8	15	160
9	17	158
10	19	159
11	21	158
12	23	158
13	25	157
14	27	156
15	29	155
16	31	153
17	33	152
18	35	150
19	37	148
20	39	147
21	41	145
22	43	144
23	45	143
24	47	141
25	49	139
26	50	137
27	53	136
28	55	134
29	56	132
30	58	131
31	60	129
32	62	127
33	64	125
34	66	123
35	68	121
36	70	120
37	72	118
38	74	115
39	76	114
40	77	112
41	78	108
42	80	107
43	82	105
44	84	103
45	86	101
46	88	99
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	99	88
53	101	86
54	102	84
55	104	82
56	106	80
57	107	78
58	109	76
59	111	74
60	113	72
61	115	70
62	116	68
63	118	66
64	120	64
65	122	62
66	123	60
67	125	59
68	127	57
69	129	55
70	131	53
71	133	51
72	134	49
73	136	47
74	138	46
75	139	44
76	141	42
77	143	40
78	145	38
79	146	36
80	148	34
81	150	32
82	152	31
83	153	29
84	155	27
85	157	25
86	158	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	170	10
94	172	9
95	174	7
96	175	5
97	177	3
98	179	1
99	181	0
